;color;duration;gross;budget;imdb_score;movie_facebook_likes;director_name_enc;Action;Adventure;Animation;Biography;Comedy;Crime;Drama;Fantasy;History;Horror;Music;Musical;Mystery;Romance;Sci-Fi;Sport;Thriller;War;Western;Europe;Other;USA;2010;2011;2012;2013;2014;2015;2016;actor_tg_max;actor_tg_min;actor_tg_mean
22;1;157;95720716.0;40000000.0;7.4;39000;7.4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;7.4;7.4;7.400000000000001
23;1;156;105219735.0;200000000.0;6.7;17000;6.033333333333334;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;7.0;6.7;6.8
24;1;156;183635922.0;135000000.0;8.1;190000;6.972727272727272;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;8.4;7.942857142857142;8.147619047619047
25;1;154;352358779.0;195000000.0;6.3;46000;6.466666666666666;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;7.25;6.3;6.616666666666667
26;1;153;60962878.0;46000000.0;8.1;86000;8.1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;8.1;7.6;7.933333333333333
27;1;153;103867764.0;104051364.53488372;7.0;58;7.0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;7.0;7.0;7.0
28;1;153;262030663.0;230000000.0;7.0;56000;6.85;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;7.266666666666667;6.85;7.038888888888889
29;1;151;228430993.0;108000000.0;8.1;153000;6.972727272727272;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;8.1;7.3;7.833333333333333
30;1;150;65007045.0;140000000.0;6.1;51000;6.033333333333334;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;7.3;6.1;6.699999999999999
32;1;150;182204440.0;65000000.0;7.4;71000;6.972727272727272;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;8.233333333333334;7.4;7.677777777777778
33;1;150;3958500.0;104051364.53488372;6.8;0;6.8;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;6.8;6.8;6.8
34;1;144;89289910.0;215000000.0;6.5;48000;6.5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;6.6;6.5;6.533333333333334
35;1;149;167735396.0;61000000.0;8.1;146000;8.1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;8.1;8.1;8.1
36;1;149;233914986.0;200000000.0;8.0;82000;7.65;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;8.0;7.3500000000000005;7.650000000000001
37;1;148;103867764.0;3500000.0;8.4;5000;8.4;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;8.4;8.4;8.4
38;1;148;292568851.0;160000000.0;8.8;175000;8.633333333333335;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;8.4;7.942857142857142;8.192063492063491
39;1;148;8093318.0;20000000.0;6.7;18000;6.9;0;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;6.7;6.7;6.7
40;1;148;200074175.0;245000000.0;6.8;85000;7.3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;7.65;6.8;7.25
41;1;147;407197282.0;250000000.0;8.2;72000;6.972727272727272;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;8.033333333333333;7.725;7.919444444444444
42;1;146;95328937.0;100000000.0;4.3;0;4.3;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4.3;4.3;4.3
43;1;146;169705587.0;25000000.0;8.1;75000;7.5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;8.1;7.266666666666667;7.822222222222223
44;1;146;424645577.0;130000000.0;7.6;82000;7.6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;7.6;7.166666666666667;7.372222222222223
45;0;146;79883359.0;66000000.0;7.2;28000;7.4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;7.2;7.2;7.2
46;1;144;52822418.0;50000000.0;7.4;44000;6.466666666666666;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;7.4;7.4;7.400000000000001
47;1;144;41229.0;25500000.0;6.5;0;6.5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;6.5;6.1;6.366666666666667
48;1;144;16377274.0;32000000.0;7.1;27000;6.9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;7.1;7.1;7.099999999999999
49;1;144;154985087.0;178000000.0;7.3;54000;7.65;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;7.3500000000000005;6.3;6.883333333333333
50;1;143;2175312.0;50000000.0;6.3;41000;6.3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;6.3;6.3;6.3
51;1;143;103867764.0;225000000.0;7.2;118000;7.2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.2;7.2;7.2
52;1;143;304360277.0;200000000.0;7.8;80000;7.3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;7.8;7.3;7.633333333333333
54;1;143;144812796.0;105000000.0;7.3;115000;7.3;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;7.942857142857142;7.3;7.514285714285713
56;1;143;103867764.0;17350.0;3.0;33;6.972727272727272;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;3.0;3.0;3.0
57;1;142;72306065.0;40000000.0;7.6;55000;7.4;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;7.6;7.566666666666667;7.588888888888889
58;1;142;202853933.0;200000000.0;6.7;41000;6.85;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.266666666666667;6.7;6.938888888888889
59;1;142;407999255.0;78000000.0;7.3;140000;6.972727272727272;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;7.3500000000000005;7.166666666666667;7.272222222222222
62;1;141;103867764.0;100000000.0;6.0;0;6.0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;6.0;6.0;6.0
64;1;141;8324748.0;35000000.0;7.1;13000;7.1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;7.1;7.1;7.099999999999999
65;1;141;47307550.0;45000000.0;6.5;28000;6.5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;6.5;6.5;6.5
66;1;141;47105085.0;50000000.0;7.4;47000;7.4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;7.725;7.4;7.508333333333333
67;1;140;80574010.0;60000000.0;5.7;26000;5.7;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;6.1;5.7;5.833333333333333
68;1;140;350034110.0;190000000.0;7.2;94000;7.2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;7.2;7.2;7.2
69;1;140;21383298.0;15000000.0;7.3;47000;7.3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;7.3;6.699999999999999;7.1000000000000005
70;1;140;13651662.0;25000000.0;8.2;77000;8.2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;8.4;7.25;7.95
72;1;139;20389967.0;50000000.0;6.7;10000;6.7;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;7.833333333333332;6.7;7.077777777777777
73;1;139;30513940.0;30000000.0;6.9;11000;7.5;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;6.9;6.9;6.900000000000001
74;1;139;13303319.0;32000000.0;6.7;39000;6.7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;7.0;6.533333333333334;6.7444444444444445
75;1;138;150117807.0;40000000.0;7.3;63000;6.972727272727272;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;7.3500000000000005;7.3;7.316666666666666
76;1;138;93749203.0;31000000.0;7.3;64000;7.3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;7.3;7.3;7.3
77;1;138;101160529.0;125000000.0;5.8;71000;5.8;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;6.699999999999999;5.8;6.099999999999999
78;1;138;127968405.0;80000000.0;8.1;53000;8.149999999999999;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;8.1;7.942857142857142;8.047619047619046
79;1;138;16969390.0;25000000.0;5.3;24000;6.033333333333334;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;6.55;6.3;6.461111111111111
80;1;138;132550960.0;120000000.0;6.7;68000;6.7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;7.6;6.7;7.0
82;1;137;37304950.0;35000000.0;6.6;16000;6.972727272727272;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;7.942857142857142;6.6;7.047619047619047
83;1;137;717753.0;25000000.0;6.1;27000;6.1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;6.1;6.1;6.099999999999999
84;1;137;281666058.0;160000000.0;6.6;38000;6.972727272727272;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;7.3500000000000005;6.6;7.038888888888889
86;1;137;115603980.0;65000000.0;7.2;35000;7.2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;7.2;7.2;7.2
87;1;136;42615685.0;40000000.0;6.1;24000;6.1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;6.1;6.1;6.099999999999999
88;1;136;259746958.0;170000000.0;7.8;55000;7.8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;8.033333333333333;7.5;7.844444444444444
89;1;136;241063875.0;250000000.0;6.7;58000;6.7;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;6.7;6.6;6.666666666666667
90;1;136;38509342.0;75000000.0;5.9;33000;5.9;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;5.9;5.9;5.900000000000001
91;1;136;52474616.0;70000000.0;6.3;13000;6.972727272727272;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;6.3;6.3;6.3
92;1;135;103867764.0;1400000.0;8.7;0;8.7;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;8.7;8.7;8.7
93;1;135;113165635.0;125000000.0;6.7;31000;6.7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;6.7;6.7;6.7
94;1;134;56667870.0;20000000.0;8.1;83000;8.1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;8.1;8.1;8.1
95;1;134;7501404.0;104051364.53488372;7.3;0;7.3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;7.3;7.0;7.2
96;1;134;107100855.0;55000000.0;7.9;65000;7.9;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;7.9;7.566666666666667;7.788888888888889
97;1;134;85707116.0;68000000.0;7.6;82000;7.6;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;7.6;6.533333333333334;6.9444444444444455
98;1;5;47034272.0;40000000.0;6.9;16000;6.9;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;6.9;6.9;6.900000000000001
